Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints
Pittsburgh Steelers,PIT,DEF,118.7,122.6,7.0,169.2,129.7
Baltimore Ravens,BAL,DEF,127.0,155.4,8.0,161.3,121.8
Los Angeles Rams,LAR,DEF,127.7,130.4,11.0,168.1,115.1
Washington Football Team,WAS,DEF,133.6,140.1,9.0,143.3,100.4
Tampa Bay Buccaneers,TB,DEF,140.5,135.1,9.0,132.0,107.2
Indianapolis Colts,IND,DEF,148.7,149.1,14.0,170.3,116.2
New York Giants,NYG,DEF,150.6,192.2,10.0,116.2,91.4
Seattle Seahawks,SEA,DEF,156.0,171.1,9.0,116.2,104.9
San Francisco 49ers,SF,DEF,156.2,162.8,6.0,99.3,118.4
Dallas Cowboys,DAL,DEF,157.4,177.1,7.0,88.0,97.0
Buffalo Bills,BUF,DEF,162.3,182.6,7.0,133.1,110.5
New England Patriots,NE,DEF,167.4,167.3,14.0,117.3,117.3
Miami Dolphins,MIA,DEF,178.3,180.4,14.0,156.8,93.6
Minnesota Vikings,MIN,DEF,181.3,181.6,7.0,64.3,103.8
Cleveland Browns,CLE,DEF,181.7,173.3,13.0,106.0,100.4
Carolina Panthers,CAR,DEF,182.7,190.3,13.0,109.4,95.9
Arizona Cardinals,ARI,DEF,187.0,188.8,12.0,120.7,93.6
Green Bay Packers,GB,DEF,189.5,192.0,13.0,106.0,103.8
Denver Broncos,DEN,DEF,192.1,192.9,11.0,83.5,104.9
Kansas City Chiefs,KC,DEF,193.1,197.3,12.0,124.1,119.6
Chicago Bears,CHI,DEF,200.3,196.7,10.0,101.5,103.8
Philadelphia Eagles,PHI,DEF,201.9,199.7,14.0,116.2,108.3
New Orleans Saints,NO,DEF,202.1,183.8,6.0,137.6,119.6
New York Jets,NYJ,DEF,204.2,200.8,6.0,73.3,100.4
Jacksonville Jaguars,JAX,DEF,205.3,196.7,7.0,58.7,99.3
Tennessee Titans,TEN,DEF,206.4,138.0,13.0,79.0,98.1
Los Angeles Chargers,LAC,DEF,207.0,197.4,7.0,81.2,101.5
Detroit Lions,DET,DEF,209.8,203.0,9.0,30.5,94.8
Houston Texans,HOU,DEF,210.9,204.2,10.0,54.1,93.6
Cincinnati Bengals,CIN,DEF,212.1,205.3,10.0,50.8,92.5
Las Vegas Raiders,LV,DEF,213.2,206.4,8.0,44.0,92.5
Atlanta Falcons,ATL,DEF,215.4,192.5,6.0,81.2,89.1
